building_id,zone_id,municipality,barangay,use_type,use_sub,sewer_status
37542,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37543,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37544,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37546,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37547,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37549,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37550,R1,Tagbilaran City,Booy,Commercial Establishments,Other Commercial,Served
37557,R1,Tagbilaran City,Booy,Religious Places,Place of Worship,Served
37559,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37560,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37561,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37562,R1,Tagbilaran City,Booy,Industrial,Fuel & Energy,Served
37564,R1,Tagbilaran City,Booy,Commercial Establishments,Other Commercial,Served
37568,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37569,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37570,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37572,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37573,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37574,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37575,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37576,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37577,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37578,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37579,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37584,R1,Tagbilaran City,Booy,Commercial Establishments,Other Commercial,Served
37589,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37591,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37592,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37593,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37594,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37595,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37597,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37599,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37600,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37601,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37602,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37603,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37604,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37605,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37606,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37607,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37609,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37612,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37613,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37615,R1,Tagbilaran City,Booy,Commercial Establishments,Other Commercial,Served
37616,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37617,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37619,R1,Tagbilaran City,Booy,Commercial Establishments,Other Commercial,Served
37620,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37628,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37630,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37631,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37632,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37633,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37634,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37635,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
